999.bad	1.2.3	false
999	1.2.3	false
999.0	1.2.3	false
999.0.0.1	1.2.3	false
vv999.0.0	1.2.3	false
0999.0.0	1.2.3	false
+999.0.0	1.2.3	false
4294967296.0.0	1.2.3	false
999999999999999999999999.0.0	1.2.3	false
2.0.0-01	1.2.3	false
2.0.0-alpha..1	1.2.3	false
2.0.0+	1.2.3	false
2.0.0-	1.2.3	false
2.0.0	invalid	false
1.2.3	1.2.3	false
v1.2.4	1.2.3	true
1.10.0	1.9.9	true
2.0.0-rc.1	1.9.9	true
2.0.0-rc.1	2.0.0	false
2.0.0	2.0.0-rc.1	true
2.0.0-alpha.10	2.0.0-alpha.2	true
2.0.0-alpha	2.0.0-alpha.1	false
2.0.0-beta	2.0.0-alpha.99	true
2.0.0-1	2.0.0-alpha	false
2.0.0+build.2	2.0.0+build.1	false
v2.0.0+001	v1.9.9	true
